job_label,instance_id,mode,ranking_mode,k,alphabet,trace_len,chain_count,sum_I,eta_pair,lemma1_pass,lemma2_pass,lemma3_pass,all_pass,violation_count,trace
campaign_smoke_task0_smoke,0,random,adv_bias,5,7,28,2,3,32,False,False,True,False,3,"p3,p3,p3,p3,p0,p3,p5,p3,p0,p3,p5,p3,p5,p4,p6,p2,p2,p3,p0,p5,p3,p3,p3,p1,p3,p2,p1,p3"
campaign_smoke_task0_smoke,1,random,near_tie,8,9,134,0,0,0,True,True,True,True,0,"p4,p3,p2,p8,p6,p3,p3,p6,p2,p2,p6,p8,p2,p8,p2,p6,p5,p3,p2,p5,p7,p3,p3,p7,p7,p2,p4,p2,p6,p3,p7,p3,p3,p5,p3,p1,p2,p4,p2,p2,p6,p1,p3,p2,p2,p1,p2,p1,p1,p4,p2,p6,p2,p2,p7,p2,p5,p3,p2,p1,p2,p4,p2,p4,p1,p2,p2,p7,p4,p1,p1,p8,p4,p8,p4,p8,p3,p7,p8,p8,p3,p3,p5,p4,p5,p4,p5,p8,p5,p4,p3,p8,p3,p3,p5,p6,p4,p2,p7,p8,p5,p4,p4,p7,p4,p3,p4,p4,p4,p4,p7,p1,p0,p7,p4,p6,p0,p4,p0,p7,p4,p4,p4,p6,p1,p4,p6,p1,p4,p3,p1,p0,p1,p0"
campaign_smoke_task0_smoke,2,random,adv_bias,6,14,36,5,10,65,True,True,True,True,0,"p0,p5,p5,p5,p5,p7,p5,p1,p0,p5,p5,p1,p1,p11,p6,p6,p5,p9,p1,p8,p1,p11,p1,p6,p8,p9,p7,p2,p6,p1,p1,p6,p4,p4,p0,p1"
campaign_smoke_task0_smoke,3,random,near_tie,6,7,44,0,0,0,True,True,True,True,0,"p4,p4,p4,p4,p4,p1,p4,p5,p2,p1,p4,p1,p5,p5,p5,p5,p5,p5,p0,p5,p5,p5,p5,p5,p4,p5,p5,p5,p5,p5,p6,p5,p5,p5,p5,p5,p5,p2,p5,p5,p5,p5,p6,p5"
campaign_smoke_task0_smoke,4,random,near_tie,6,8,90,0,0,0,True,True,True,True,0,"p0,p0,p0,p5,p4,p3,p0,p7,p3,p1,p0,p0,p0,p0,p3,p4,p6,p6,p2,p1,p0,p7,p4,p4,p4,p1,p7,p4,p7,p4,p0,p2,p2,p2,p7,p3,p0,p6,p4,p3,p0,p2,p2,p2,p5,p5,p4,p4,p3,p1,p1,p4,p3,p3,p0,p3,p2,p7,p4,p2,p1,p0,p0,p4,p7,p1,p6,p4,p6,p5,p2,p6,p4,p6,p6,p6,p5,p5,p6,p4,p6,p2,p5,p6,p5,p7,p1,p3,p6,p5"
campaign_smoke_task0_smoke,5,random,noisy,5,7,56,0,0,0,True,True,True,True,0,"p3,p2,p4,p5,p5,p5,p6,p3,p2,p2,p5,p6,p5,p5,p1,p5,p5,p3,p2,p3,p3,p6,p3,p3,p4,p2,p2,p3,p3,p1,p3,p3,p4,p3,p2,p5,p0,p1,p3,p2,p5,p3,p2,p0,p3,p2,p5,p1,p0,p3,p6,p6,p0,p0,p1,p6"
campaign_smoke_task0_smoke,6,random,noisy,6,14,83,0,0,0,True,True,True,True,0,"p0,p0,p0,p1,p2,p0,p0,p8,p3,p2,p0,p2,p0,p0,p2,p7,p10,p10,p10,p8,p2,p2,p0,p9,p4,p9,p1,p4,p0,p0,p4,p6,p10,p3,p4,p6,p6,p12,p5,p12,p2,p0,p12,p6,p5,p6,p6,p6,p1,p10,p5,p0,p11,p6,p7,p6,p2,p6,p6,p11,p4,p10,p6,p7,p6,p9,p5,p9,p8,p6,p6,p11,p9,p9,p7,p6,p4,p6,p4,p7,p8,p7,p8"
campaign_smoke_task0_smoke,7,random,near_tie,4,8,46,1,0,0,True,True,True,True,0,"p6,p6,p6,p6,p6,p2,p6,p6,p6,p6,p6,p0,p5,p7,p4,p6,p4,p6,p6,p7,p6,p6,p6,p6,p4,p6,p6,p4,p4,p5,p6,p1,p5,p6,p5,p6,p6,p5,p3,p6,p5,p5,p4,p5,p2,p4"
campaign_smoke_task0_smoke,8,random,near_tie,6,10,114,1,1,2,True,True,True,True,0,"p3,p6,p0,p6,p0,p4,p2,p6,p6,p5,p8,p8,p8,p1,p2,p8,p4,p1,p4,p4,p0,p1,p4,p3,p6,p1,p3,p8,p6,p4,p0,p6,p8,p3,p8,p4,p4,p3,p4,p0,p5,p8,p2,p5,p6,p1,p7,p3,p8,p7,p5,p7,p8,p0,p1,p5,p8,p0,p2,p5,p6,p5,p5,p0,p2,p0,p9,p5,p2,p2,p5,p3,p1,p9,p0,p9,p0,p9,p3,p6,p9,p5,p3,p3,p8,p7,p9,p6,p8,p9,p0,p2,p4,p6,p7,p9,p9,p7,p8,p2,p4,p4,p3,p0,p0,p1,p8,p7,p0,p5,p0,p9,p2,p7"
campaign_smoke_task0_smoke,9,random,adv_bias,2,6,28,0,0,0,True,True,True,True,0,"p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p2,p4,p4,p4,p4,p4,p4"
campaign_smoke_task0_smoke,10,random,near_tie,6,8,74,0,0,0,True,True,True,True,0,"p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p0,p5,p0,p5,p5,p5,p5,p0,p5,p0,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p2,p0,p5,p5,p5,p5,p5,p2,p5,p2,p5,p0,p2,p2,p5,p5,p5,p5,p2,p2,p0,p0,p0,p2,p5,p2,p2,p0,p5,p5,p5,p2,p2,p2,p2,p1,p6,p2,p2,p5,p5"
campaign_smoke_task0_smoke,11,random,adv_bias,3,4,40,4,3,34,True,True,True,True,0,"p1,p1,p1,p1,p3,p3,p3,p0,p1,p0,p2,p3,p2,p1,p1,p0,p1,p2,p3,p1,p1,p0,p3,p1,p1,p0,p3,p3,p1,p3,p1,p2,p3,p3,p1,p0,p3,p3,p1,p3"
campaign_smoke_task0_smoke,12,random,adv_bias,3,7,60,0,0,0,True,True,True,True,0,"p0,p0,p0,p0,p0,p3,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p0,p6,p0,p6,p6,p0,p0,p0,p0"
campaign_smoke_task0_smoke,13,random,near_tie,2,4,15,0,0,0,True,True,True,True,0,"p0,p0,p0,p2,p2,p0,p0,p0,p3,p2,p3,p0,p2,p2,p3"
campaign_smoke_task0_smoke,14,random,adv_bias,6,7,38,0,0,0,True,True,True,True,0,"p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p4,p5,p5,p5,p6,p5,p4,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p5,p0,p5,p6,p5"
campaign_smoke_task0_smoke,15,random,adv_bias,6,7,40,0,0,0,True,True,True,True,0,"p6,p6,p2,p5,p6,p6,p3,p3,p3,p1,p2,p3,p5,p5,p5,p6,p2,p3,p4,p4,p2,p5,p3,p2,p1,p5,p2,p3,p4,p3,p5,p4,p3,p5,p6,p6,p4,p4,p6,p6"
campaign_smoke_task0_smoke,16,random,near_tie,6,14,97,2,0,0,False,False,True,False,2,"p13,p5,p8,p0,p8,p4,p5,p4,p1,p3,p8,p7,p7,p6,p8,p10,p4,p4,p8,p4,p11,p8,p3,p8,p5,p10,p7,p6,p4,p6,p4,p4,p3,p5,p5,p4,p0,p8,p10,p3,p2,p4,p7,p2,p6,p1,p2,p0,p10,p4,p10,p6,p1,p4,p7,p6,p8,p3,p0,p6,p8,p2,p6,p5,p1,p6,p9,p5,p1,p4,p5,p7,p1,p6,p11,p1,p2,p1,p2,p13,p7,p1,p7,p2,p4,p6,p1,p8,p2,p0,p4,p1,p11,p2,p7,p8,p10"
campaign_smoke_task0_smoke,17,random,noisy,3,4,56,0,0,0,True,True,True,True,0,"p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p0,p2,p3,p3,p0,p0,p0,p0,p0,p0,p1,p0,p3,p2,p2,p0,p0,p2,p3,p0,p2,p0,p2,p2,p2,p2,p2,p1,p2,p2,p2,p2,p2,p1,p1,p2,p2,p2,p1,p1,p1"
campaign_smoke_task0_smoke,18,random,adv_bias,5,9,81,0,0,0,True,True,True,True,0,"p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p2,p7,p3,p7,p7,p3,p3,p3,p3,p7,p7,p7,p7,p7,p3,p3,p7,p7,p7,p7,p7,p7,p7,p3,p7,p7,p7,p3,p7,p7,p7,p7,p2,p7,p7,p2,p7,p7,p7,p2,p7,p2,p3,p7,p7,p8,p7,p3,p7,p2,p7,p3,p7,p7,p7,p2,p2,p3,p3,p3,p8,p3,p2,p7,p8,p2"
campaign_smoke_task0_smoke,19,random,near_tie,8,12,82,1,0,0,True,True,True,True,0,"p1,p1,p1,p10,p6,p4,p7,p4,p9,p5,p0,p3,p11,p9,p2,p1,p9,p10,p3,p3,p7,p7,p10,p7,p5,p9,p0,p7,p4,p1,p2,p1,p2,p2,p4,p0,p0,p10,p0,p1,p0,p6,p8,p0,p7,p1,p9,p7,p0,p9,p7,p3,p3,p8,p8,p7,p5,p3,p0,p2,p3,p4,p5,p11,p4,p1,p8,p2,p2,p9,p0,p0,p7,p3,p1,p5,p2,p1,p8,p5,p9,p1"
campaign_smoke_task0_smoke,20,random,adv_bias,4,8,29,5,8,46,True,True,True,True,0,"p0,p6,p0,p3,p7,p0,p0,p5,p2,p6,p4,p6,p5,p3,p2,p5,p7,p4,p4,p4,p0,p2,p4,p3,p2,p4,p4,p0,p5"
campaign_smoke_task0_smoke,21,random,noisy,5,7,60,0,0,0,True,True,True,True,0,"p4,p4,p3,p4,p2,p0,p2,p4,p0,p2,p3,p2,p2,p0,p4,p2,p2,p6,p4,p2,p4,p6,p1,p3,p5,p0,p4,p6,p2,p5,p4,p6,p4,p5,p6,p6,p6,p1,p0,p6,p4,p3,p5,p5,p6,p4,p6,p0,p5,p1,p0,p5,p6,p4,p5,p6,p6,p4,p3,p1"
campaign_smoke_task0_smoke,22,random,adv_bias,8,12,123,13,53,377,False,True,True,False,1,"p9,p9,p5,p2,p2,p2,p5,p9,p2,p5,p5,p9,p2,p10,p7,p2,p7,p9,p9,p1,p2,p1,p2,p5,p1,p5,p2,p6,p7,p1,p5,p4,p5,p1,p6,p9,p4,p2,p2,p2,p9,p6,p5,p4,p5,p9,p10,p8,p2,p2,p2,p8,p5,p6,p8,p10,p9,p10,p9,p7,p9,p9,p10,p9,p8,p0,p7,p5,p8,p7,p7,p7,p9,p5,p10,p10,p4,p5,p7,p9,p11,p4,p9,p4,p6,p4,p3,p5,p5,p11,p0,p11,p10,p0,p9,p7,p3,p9,p1,p3,p1,p11,p11,p5,p5,p6,p10,p6,p1,p0,p4,p4,p4,p1,p1,p1,p1,p5,p4,p1,p7,p6,p2"
campaign_smoke_task0_smoke,23,random,near_tie,5,9,44,1,0,0,False,False,True,False,2,"p7,p7,p7,p7,p7,p7,p7,p7,p6,p7,p7,p7,p7,p6,p7,p7,p6,p8,p8,p5,p7,p3,p2,p8,p8,p2,p8,p8,p6,p8,p2,p4,p8,p8,p8,p8,p2,p2,p1,p6,p8,p8,p0,p6"
campaign_smoke_task0_smoke,24,random,adv_bias,4,6,55,9,14,108,False,True,True,False,1,"p1,p1,p1,p1,p4,p3,p1,p5,p0,p0,p0,p3,p0,p2,p0,p1,p1,p4,p1,p4,p2,p1,p1,p2,p5,p3,p3,p2,p3,p5,p3,p5,p2,p5,p2,p4,p5,p4,p2,p2,p5,p5,p1,p0,p1,p2,p1,p5,p5,p4,p2,p5,p1,p1,p3"
campaign_smoke_task0_smoke,25,random,near_tie,3,4,28,0,0,0,True,True,True,True,0,"p3,p3,p3,p3,p3,p3,p2,p3,p3,p2,p3,p3,p2,p3,p2,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3,p3"
campaign_smoke_task0_smoke,26,random,noisy,6,7,31,0,0,0,True,True,True,True,0,"p3,p6,p0,p3,p0,p3,p3,p3,p0,p3,p6,p3,p3,p3,p0,p3,p0,p1,p1,p3,p1,p3,p0,p1,p6,p6,p6,p0,p6,p5,p5"
campaign_smoke_task0_smoke,27,random,noisy,5,9,59,1,0,1,True,True,True,True,0,"p2,p4,p2,p0,p4,p4,p8,p4,p4,p5,p1,p4,p6,p7,p2,p8,p4,p4,p6,p3,p1,p3,p6,p4,p4,p4,p1,p4,p5,p3,p3,p3,p7,p3,p0,p0,p1,p0,p2,p0,p3,p3,p0,p1,p3,p2,p6,p1,p5,p3,p3,p1,p7,p8,p0,p7,p1,p3,p5"
campaign_smoke_task0_smoke,28,random,near_tie,6,7,109,0,0,0,True,True,True,True,0,"p5,p6,p5,p4,p1,p4,p3,p4,p0,p5,p5,p1,p4,p1,p2,p1,p1,p5,p0,p1,p0,p6,p2,p1,p5,p3,p3,p6,p2,p6,p6,p1,p0,p6,p6,p2,p6,p1,p6,p1,p6,p2,p6,p1,p2,p1,p3,p3,p6,p1,p6,p3,p0,p0,p3,p1,p2,p4,p6,p1,p1,p6,p0,p1,p1,p1,p3,p6,p2,p6,p2,p1,p1,p0,p2,p6,p1,p1,p2,p0,p2,p6,p1,p5,p1,p1,p1,p3,p6,p2,p1,p3,p4,p4,p6,p3,p3,p3,p2,p3,p4,p0,p6,p2,p3,p4,p1,p0,p3"
campaign_smoke_task0_smoke,29,random,noisy,6,8,112,1,0,0,True,True,True,True,0,"p1,p0,p0,p1,p5,p1,p7,p2,p0,p6,p4,p0,p4,p4,p6,p4,p7,p4,p4,p2,p4,p4,p4,p0,p0,p4,p6,p2,p2,p5,p4,p2,p7,p3,p7,p3,p3,p6,p0,p7,p7,p6,p6,p3,p7,p7,p7,p7,p0,p7,p7,p4,p7,p7,p0,p3,p7,p2,p2,p7,p7,p3,p7,p7,p7,p4,p5,p2,p7,p7,p5,p4,p7,p6,p4,p7,p7,p3,p2,p2,p4,p2,p3,p1,p0,p2,p4,p4,p1,p3,p0,p2,p3,p3,p1,p0,p3,p1,p4,p1,p4,p4,p0,p4,p4,p1,p1,p4,p1,p4,p1,p4"
campaign_smoke_task0_smoke,30,random,near_tie,2,3,21,0,0,0,True,True,True,True,0,"p2,p1,p0,p1,p1,p0,p2,p1,p2,p1,p1,p2,p1,p1,p0,p2,p2,p1,p0,p2,p2"
campaign_smoke_task0_smoke,31,random,noisy,8,10,125,0,0,0,True,True,True,True,0,"p4,p4,p8,p4,p4,p8,p4,p4,p2,p7,p4,p5,p9,p0,p2,p2,p4,p1,p1,p3,p0,p3,p2,p6,p7,p7,p9,p1,p7,p1,p1,p1,p7,p5,p6,p7,p4,p6,p7,p4,p2,p5,p7,p6,p1,p9,p9,p7,p9,p6,p4,p3,p6,p6,p7,p9,p1,p6,p7,p7,p8,p9,p6,p9,p6,p0,p7,p6,p2,p7,p1,p1,p4,p5,p4,p9,p5,p3,p5,p8,p5,p9,p0,p9,p0,p7,p9,p3,p5,p7,p4,p0,p0,p9,p2,p9,p9,p1,p2,p2,p4,p9,p0,p6,p7,p5,p5,p0,p0,p6,p6,p5,p4,p3,p0,p0,p1,p1,p1,p5,p7,p8,p2,p6,p3"
campaign_smoke_task0_smoke,32,random,adv_bias,3,4,18,1,0,2,True,True,True,True,0,"p0,p0,p0,p0,p0,p0,p0,p2,p0,p1,p0,p2,p2,p1,p0,p1,p3,p1"
campaign_smoke_task0_smoke,33,random,noisy,4,6,35,0,0,0,True,True,True,True,0,"p2,p2,p5,p2,p2,p2,p5,p5,p2,p5,p1,p5,p5,p5,p2,p2,p2,p3,p4,p2,p5,p0,p3,p0,p4,p4,p4,p0,p4,p0,p4,p4,p4,p1,p0"
campaign_smoke_task0_smoke,34,random,adv_bias,3,4,15,1,1,8,True,True,True,True,0,"p2,p1,p0,p2,p2,p2,p3,p0,p0,p3,p3,p0,p0,p1,p1"
campaign_smoke_task0_smoke,35,random,noisy,8,12,102,1,0,0,True,True,True,True,0,"p9,p4,p4,p9,p9,p4,p4,p8,p11,p9,p4,p4,p0,p8,p10,p9,p3,p4,p8,p0,p4,p11,p1,p8,p5,p7,p9,p8,p7,p10,p7,p7,p5,p1,p7,p0,p6,p6,p1,p9,p9,p7,p9,p5,p7,p7,p0,p0,p1,p0,p11,p1,p0,p6,p5,p0,p4,p0,p11,p0,p4,p11,p0,p11,p1,p7,p0,p5,p11,p8,p4,p0,p8,p0,p0,p11,p11,p11,p8,p9,p1,p9,p9,p10,p3,p3,p5,p0,p3,p0,p9,p1,p1,p9,p1,p10,p5,p0,p5,p6,p0,p10"
campaign_smoke_task0_smoke,36,random,near_tie,8,18,58,2,0,0,True,True,True,True,0,"p5,p5,p7,p5,p7,p1,p7,p15,p1,p7,p7,p8,p3,p5,p13,p10,p14,p11,p4,p3,p3,p7,p7,p11,p4,p7,p4,p15,p3,p5,p8,p7,p5,p0,p6,p3,p8,p7,p5,p5,p8,p8,p4,p1,p6,p0,p3,p5,p3,p2,p3,p9,p9,p1,p1,p0,p10,p5"
campaign_smoke_task0_smoke,37,random,near_tie,8,18,83,1,0,0,True,True,True,True,0,"p16,p7,p10,p9,p1,p0,p16,p17,p10,p10,p9,p6,p9,p6,p3,p9,p6,p1,p4,p4,p7,p2,p9,p11,p4,p2,p2,p8,p10,p4,p3,p14,p8,p14,p6,p9,p17,p6,p2,p7,p2,p2,p0,p11,p3,p9,p5,p5,p6,p7,p10,p11,p11,p0,p8,p5,p10,p8,p10,p9,p4,p6,p9,p0,p11,p5,p5,p0,p10,p0,p4,p13,p8,p4,p10,p9,p11,p6,p11,p4,p9,p4,p13"
campaign_smoke_task0_smoke,38,random,adv_bias,6,8,106,13,29,312,False,False,True,False,5,"p3,p3,p3,p4,p3,p4,p3,p5,p1,p1,p4,p1,p5,p4,p7,p7,p1,p5,p6,p5,p7,p0,p7,p7,p3,p1,p2,p6,p6,p6,p4,p5,p0,p0,p4,p3,p3,p0,p7,p3,p6,p2,p0,p0,p3,p2,p3,p6,p3,p4,p3,p3,p3,p0,p0,p6,p0,p3,p4,p4,p0,p2,p3,p5,p1,p1,p4,p4,p5,p3,p4,p4,p4,p1,p3,p1,p5,p4,p4,p1,p4,p4,p0,p4,p0,p5,p0,p4,p5,p4,p1,p4,p0,p1,p6,p0,p3,p1,p1,p5,p6,p7,p4,p2,p2,p1"
campaign_smoke_task0_smoke,39,random,near_tie,4,8,50,0,0,1,True,True,True,True,0,"p7,p7,p6,p4,p4,p5,p7,p6,p4,p1,p2,p3,p7,p4,p5,p3,p5,p2,p3,p4,p5,p2,p5,p4,p7,p0,p0,p0,p2,p7,p0,p0,p0,p2,p0,p0,p2,p7,p6,p5,p2,p7,p3,p3,p4,p0,p0,p0,p0,p3"
campaign_smoke_task0_smoke,40,random,near_tie,5,6,63,0,0,1,True,True,True,True,0,"p3,p2,p2,p3,p2,p3,p2,p2,p1,p3,p2,p2,p5,p4,p0,p1,p2,p5,p4,p2,p4,p3,p5,p3,p2,p5,p4,p1,p3,p0,p1,p1,p1,p1,p4,p0,p1,p4,p1,p1,p0,p1,p1,p5,p4,p5,p1,p4,p0,p2,p4,p3,p1,p1,p1,p0,p0,p3,p1,p2,p0,p5,p5"
campaign_smoke_task0_smoke,41,random,near_tie,8,18,51,1,0,0,True,True,True,True,0,"p2,p2,p15,p2,p5,p7,p11,p9,p9,p15,p3,p4,p15,p6,p2,p8,p15,p12,p7,p2,p2,p0,p0,p7,p10,p7,p7,p0,p12,p7,p10,p1,p10,p1,p14,p7,p3,p0,p7,p11,p4,p13,p6,p3,p0,p3,p10,p7,p7,p3,p13"
campaign_smoke_task0_smoke,42,random,noisy,8,9,65,0,0,0,True,True,True,True,0,"p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p3,p2,p2,p2,p0,p2,p2,p2,p0,p2,p2,p2,p0,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p8,p2,p2,p2,p2,p8,p5,p2,p2,p2,p8,p5,p8,p2,p2,p2,p8,p8,p8,p2,p2,p8,p5,p5,p8,p4"
campaign_smoke_task0_smoke,43,random,noisy,6,10,114,1,0,1,True,True,True,True,0,"p1,p3,p8,p1,p8,p3,p1,p9,p8,p9,p9,p9,p1,p9,p0,p6,p3,p2,p8,p1,p2,p4,p1,p0,p0,p4,p5,p5,p4,p1,p8,p0,p0,p0,p4,p5,p3,p3,p1,p4,p3,p0,p6,p6,p1,p1,p1,p2,p4,p2,p8,p6,p7,p8,p2,p8,p8,p2,p4,p0,p2,p2,p2,p2,p8,p0,p6,p9,p6,p6,p5,p0,p7,p0,p1,p4,p0,p4,p4,p3,p9,p0,p7,p5,p7,p2,p0,p0,p6,p0,p5,p3,p3,p8,p9,p7,p4,p5,p9,p0,p2,p1,p5,p8,p9,p1,p7,p4,p4,p6,p5,p5,p4,p1"
campaign_smoke_task0_smoke,44,random,adv_bias,6,10,99,13,37,255,False,False,True,False,4,"p2,p0,p0,p0,p9,p8,p9,p9,p8,p9,p9,p4,p8,p9,p8,p9,p0,p9,p4,p9,p9,p8,p9,p3,p8,p4,p4,p3,p8,p4,p4,p2,p8,p1,p1,p1,p4,p4,p2,p3,p9,p1,p3,p9,p3,p5,p7,p4,p4,p3,p4,p9,p9,p4,p1,p5,p6,p4,p5,p6,p9,p2,p1,p5,p1,p7,p9,p2,p6,p5,p2,p6,p6,p7,p3,p0,p5,p0,p8,p4,p0,p0,p6,p9,p6,p5,p6,p6,p5,p1,p0,p0,p2,p5,p6,p7,p2,p0,p6"
campaign_smoke_task0_smoke,45,random,near_tie,6,10,60,0,0,0,True,True,True,True,0,"p8,p8,p8,p0,p8,p7,p5,p5,p4,p5,p3,p7,p3,p8,p6,p8,p6,p5,p7,p6,p3,p5,p7,p6,p2,p6,p6,p5,p5,p0,p2,p5,p1,p4,p4,p7,p6,p6,p6,p5,p2,p7,p6,p2,p2,p4,p9,p1,p6,p0,p6,p9,p0,p6,p1,p8,p4,p8,p5,p8"
campaign_smoke_task0_smoke,46,random,adv_bias,3,7,21,4,2,16,False,True,True,False,1,"p0,p5,p5,p6,p6,p0,p5,p5,p4,p6,p6,p5,p5,p0,p4,p5,p5,p4,p6,p5,p3"
